,Nose,Neck,Right_shoulder,Right_elbow,Right_wrist,Left_shoulder,Left_elbow,Left_wrist,Right_hip,Right_knee,Right_ankle,Left_hip,Left_knee,Left_ankle,Right_eye,Left_eye,Right_ear,Left_ear
51,5.047611350859774,5.13161135484956,5.051083573246918,5.2132780253951845,5.174055801310007,5.112000242806971,5.1866669130201135,5.222000248031691,5.123055798887637,5.2497780271288415,5.216944692236009,5.042055795040343,5.169666912212657,5.138000244041905,4.987611348009927,5.015028015978815,5.278055806249742,5.709333604512115
52,5.094139130847503,5.138000244041905,5.116389131904321,5.185944690763588,5.0306946833896085,5.35130580972893,5.233250248566037,5.216000247746706,5.266611361261716,5.219000247889198,5.249750249349745,5.168139134362314,5.206416913958188,5.237750248779776,4.998055792950455,5.042805795075966,5.269583583625111,5.785805830366573
53,5.020528016240051,5.078194685645737,5.264750250062207,5.220611359076833,5.219166914563781,5.131028021488519,5.204166913851319,5.20572246948076,4.918666900290797,5.186555801903725,5.163722467485867,5.220000247936696,5.215389136606569,5.188111357533166,4.967694680397269,5.042805795075966,4.932305789827498,5.687944714607308
54,4.986805792416109,5.118000243091956,5.079778019054275,5.179833579362215,5.220778025751415,5.245528026926977,5.16525024533621,5.190222468744549,4.942000234732404,5.249750249349745,5.172639134576053,4.908055788675685,5.159444689504905,5.215250247711083,4.986722459078818,4.9406669013357405,2.559027899325075,5.6283336006648215
55,5.115611354089601,5.101889131215608,5.095833575372429,5.199055802497443,5.207889136250338,5.18738913527664,5.15550024487311,5.201361358162507,5.2245835814877255,5.223611359219325,5.150500244635623,5.035805794743484,5.372416921842765,5.171083578946612,5.067139129565072,5.062194684885778,2.5691945664746325,5.64561137926325
56,5.0344169057886266,5.096916908757217,5.163222467462118,5.182889135062902,5.194055802259956,5.163805800823158,5.2542502495634835,5.2020558026399355,5.055361351227879,5.174139134647299,5.150583577972914,5.039278017130628,5.135139132794898,5.194083580039053,5.013778015919443,4.9806669032356385,5.202778024896461,5.394916922911458
57,5.030944683401483,5.035111350266056,5.016361349375479,5.308194696570151,5.13297246602532,5.051083573246918,5.231805804052985,5.252889138387723,5.088055797225226,5.121389132141808,5.190916913221978,5.010305793532299,5.218055803399895,5.225000248174183,5.004666904375577,5.015000238199718,5.202778024896461,5.9733613948305395
58,4.981194681038485,5.042055795040343,4.95413912419786,5.336833586819314,5.212583580917756,5.041389128342012,5.216000247746706,5.225000248174183,5.040083572724446,5.140166910811482,5.169000245514326,5.110555798293919,5.314555807983399,5.275416917235512,5.012389126964586,4.902111343948895,5.113250242866343,5.000778015301976
59,4.989972459233185,5.1019169089947045,5.04413912847263,5.199194691392929,5.095083575336806,5.20230580265181,5.16583357869725,5.150666911310205,4.854500230576377,5.17188913454043,5.210861358613733,5.004666904375577,5.140889133068009,5.265778027888801,4.942166901406987,4.951528012962727,5.155166911523944,5.43477803591587
60,5.1113613538877365,5.049000239814632,5.270166916986151,5.270166916986151,5.218055803399895,5.12663913239117,5.162194689635523,5.18738913527664,5.109194687118158,5.127889132450542,5.16311135634573,5.07125024087145,5.295972473767405,5.331694697686341,5.072833574279987,5.095805797593331,5.149972466832777,3.575722392059914
61,4.953333568604042,5.033722461311198,5.16466691197517,5.2075558029011715,5.169750245549949,5.208916914076932,5.205555802806177,5.261639138803326,5.2758058061428725,4.969750236050459,5.208778025181446,5.2303891373190305,5.229500248387922,5.18377802399401,4.984805792321114,4.917444678010522,5.149972466832777,3.4216668291871124
62,4.997666904043095,5.161639134053581,5.2072780251102,5.1903891354191325,5.173166912378898,5.143278022070363,5.159250245051226,5.268861361368585,5.316222474729228,5.046222461904916,5.1497502446,5.024000238627195,5.3394446980544465,5.261000249884091,5.118222465324733,4.954916902012579,5.149972466832777,5.329250253125792
63,5.073333574303736,5.222000248031691,4.896944677036824,5.2696391391833055,5.160166911761431,5.154416911488321,5.16886135661884,5.173500245728064,5.44891692547632,5.141333577533563,5.153250244766241,5.033722461311198,5.3447224760829055,5.282000250881538,5.0902502417739015,5.035111350266056,5.149972466832777,5.873055834510725
